model,retailer,value,final_price,html_price,rendered_price,previous_week_price,base_value,discount,promo_note,source_method,availability,availability_method,availability_text,risk_flags,confidence,decision_note,status,error,fetched_at,url
iPhone 17e 256GB,Viettel,,,,,17290000,,0,,,,,,WARN_FETCH_STATUS|WARN_RENDER_UNAVAILABLE,REVIEW,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),URL_ERROR,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),2026-09-10T15:25:38,https://viettelstore.vn/dien-thoai/iphone-17e-256gb-pid363671.html
iPhone 17e 256GB,FPT,21490000,21490000,21490000,21490000,17490000,21490000,0,,fpt_structured_offer_price,,,,WARN_WEEK_CHANGE,VERIFIED_RENDER,render matched via rendered_body_text,OK,,2026-09-10T15:25:40,https://fptshop.com.vn/dien-thoai/iphone-17e
iPhone 17e 256GB,MW,17590000,17590000,17590000,,17590000,17990000,400000,"Giảm giá 400,000",mw_visible_price,,,,,HTML_OK,,OK,,2026-09-10T15:25:41,https://www.thegioididong.com/dtdd/iphone-17e-256gb
