week_id,week_number,quarter,fiscal_year,category,raw_model,canonical_model,capacity,partner,price_vnd,stock_status,price_change_note,source_sheet,source_row,source_url,mapping_status,import_batch_id
W4Q3FY24,4,3,24,Apple Watch,Watch S9 (45mm GPS),Apple Watch S9 (45mm GPS),,Viettel,9990000,In stock,,W4Q3FY24,19,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch SE2 (40mm GPS),Apple Watch SE 2 (40mm GPS),,CPS,,OOS,,W4Q3FY24,29,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch SE2 (40mm GPS),Apple Watch SE 2 (40mm GPS),,FPT,5940000,In stock,,W4Q3FY24,29,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch SE 2 (40mm GPS),Apple Watch SE 2 (40mm GPS),,MW,,OOS,,W4Q3FY24,25,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch SE2 (40mm GPS),Apple Watch SE 2 (40mm GPS),,Shopdunk,5890000,In stock,,W4Q3FY24,28,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch SE 2022 (40mm GPS),Apple Watch SE 2022 (40mm GPS),,Viettel,4990000,In stock,,W4Q3FY24,20,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch SE 2023 (40mm GPS),Apple Watch SE 2023 (40mm GPS),,Viettel,5690000,In stock,,W4Q3FY24,21,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch SE 3 (40mm GPS ),Apple Watch SE 3 (40mm GPS),,CPS,5790000,In stock,,W4Q3FY24,26,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch SE 3 (40mm GPS),Apple Watch SE 3 (40mm GPS),,MW,6190000,In stock,,W4Q3FY24,24,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch SE 3 (40mm GPS),Apple Watch SE 3 (40mm GPS),,Shopdunk,5790000,In stock,,W4Q3FY24,26,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra ( 49mm),Apple Watch Ultra (49mm),,CPS,15990000,In stock,,W4Q3FY24,31,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra ( 49mm),Apple Watch Ultra (49mm),,FPT,17390000,In stock,,W4Q3FY24,31,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra (49mm),Apple Watch Ultra (49mm),,MW,,OOS,,W4Q3FY24,28,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra ( 49mm),Apple Watch Ultra (49mm),,Shopdunk,,In stock,,W4Q3FY24,30,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra ( 49mm),Apple Watch Ultra (49mm),,Viettel,14790000,In stock,,W4Q3FY24,22,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra 2 ( 49mm),Apple Watch Ultra 2 (49mm),,CPS,20990000,In stock,,W4Q3FY24,28,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra 2 ( 49mm),Apple Watch Ultra 2 (49mm),,FPT,20890000,In stock,,W4Q3FY24,27,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra 2 (49mm),Apple Watch Ultra 2 (49mm),,MW,21990000,In stock,,W4Q3FY24,27,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra 2 ( 49mm),Apple Watch Ultra 2 (49mm),,Shopdunk,20890000,In stock,,W4Q3FY24,27,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,Apple Watch,Watch Ultra 2 ( 49mm),Apple Watch Ultra 2 (49mm),,Viettel,19690000,In stock,,W4Q3FY24,23,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M1,"MacBook Air 13"" M1 8/256GB",256GB,CPS,18490000,In stock,,W4Q3FY24,17,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M1,"MacBook Air 13"" M1 8/256GB",256GB,FPT,18390000,In stock,,W4Q3FY24,17,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M1,"MacBook Air 13"" M1 8/256GB",256GB,MW,18690000,In stock,,W4Q3FY24,15,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M1,"MacBook Air 13"" M1 8/256GB",256GB,Shopdunk,18240000,In stock,,W4Q3FY24,17,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M2,"MacBook Air 13"" M2 8/256GB",256GB,CPS,24790000,In stock,,W4Q3FY24,18,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M2,"MacBook Air 13"" M2 8/256GB",256GB,FPT,24890000,In stock,,W4Q3FY24,18,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M2,"MacBook Air 13"" M2 8/256GB",256GB,MW,24990000,In stock,,W4Q3FY24,16,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M2,"MacBook Air 13"" M2 8/256GB",256GB,Shopdunk,24590000,In stock,,W4Q3FY24,18,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M3 13' 256Gb,"MacBook Air 13"" M3 8/256GB",256GB,CPS,27990000,In stock,,W4Q3FY24,13,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M3 13' 256Gb,"MacBook Air 13"" M3 8/256GB",256GB,FPT,27890000,In stock,,W4Q3FY24,13,,Auto-normalized,price_check_62813eb26afe
W4Q3FY24,4,3,24,MacBook,MacBook Air M3 13' 256Gb,"MacBook Air 13"" M3 8/256GB",256GB,MW,27990000,In stock,,W4Q3FY24,11,,Auto-normalized,price_check_62813eb26afe
